Course,Lesson Name,Visual Type,data-type
HTML,What Is Accessibility & ARIA Roles,Diagram,html-accessibility-aria-visualization
HTML,Alt Text & Semantic Images,Diagram,html-alt-text-visualization
HTML,"Boilerplate Code, Lists & Attributes in HTML",Interactive visualization,html-attributes-visualization
HTML,"Boilerplate Code, Lists & Attributes in HTML",Interactive visualization,html-boilerplate
HTML,Colour Contrast & Testing,Chart,html-color-contrast-visualization
HTML,"Semantic in HTML, HTML Entities, Tables and It's Semantics",Interactive visualization,html-entities-emmet-visualization
HTML,Forms in HTML,Interactive visualization,html-forms-visualization
HTML,Keyboard Navigation,Diagram,html-keyboard-nav-visualization
HTML,"Introduction to HTML, Elements & Tags",Interactive visualization,html-layers-1
HTML,"HTML Links, Images & Block vs Inline Elements",Interactive visualization,html-links-images-basics-visualization
HTML,"Boilerplate Code, Lists & Attributes in HTML",Interactive visualization,html-list-visualizer
HTML,"Semantic in HTML, HTML Entities, Tables and It's Semantics",Table,html-tables-visualization
HTML,"Introduction to HTML, Elements & Tags",Interactive visualization,html-tags
HTML,"HTML Links, Images & Block vs Inline Elements",Interactive visualization,inline-block-elements-visualization
HTML,"Semantic in HTML, HTML Entities, Tables and It's Semantics",Interactive visualization,semantic-markup-visualization
HTML,"Introduction to HTML, Elements & Tags",Interactive visualization,web-stack
CSS,"CSS Selectors, Pseudo Classes, Pseudo Elements, Cascade, Specificity, Inheritance, CSS Box Model & Units",Interactive visualization,css-advanced-visualizer
CSS,"CSS Selectors, Pseudo Classes, Pseudo Elements, Cascade, Specificity, Inheritance, CSS Box Model & Units",Interactive visualization,css-box-model-visualizer
CSS,Getting Started: Styles,Interactive visualization,css-colors-visualization
CSS,CSS Effects & Advanced Properties,Interactive visualization,css-effects-visualizer
CSS,Fluid Typography & Layouts,Chart,css-fluid-typography-visualization
CSS,Getting Started: Styles,Interactive visualization,css-intro-visualization
CSS,Keyframe Animations,Interactive visualization,css-keyframes-visualization
CSS,CSS Grid,Interactive visualization,css-master-visualizer
CSS,Media Queries,Diagram,css-media-queries-visualization
CSS,Mobile-First & Viewport Units,Interactive visualization,css-mobile-first-visualization
